== provenance ==
published   2026-08-16, re-run in full from probes/coil-course/src/main.rs
tree        wave 4 stage 2, after C3 (16-bit view angles) and the C4 run clock
command     cargo run --release -- ../../assets/maps/coil.map

Supersedes the pre-C3 publication. Two numbers moved and both moved because of
C3, not because of anything the run clock did: H3's bot now ends at y=1796 z=145
where it used to end at y=1792 z=143. Its 4416 ms to y=1780 and its 783 ups peak
are unchanged. The angle quantisation changes which yaw the bot's search can
actually ask for, so a greedy search over a coarser alphabet lands a few units
elsewhere; nothing about the movement model moved, and `cargo xtask determinism`
still folds to e0cd098aa4af9ba2 on all four targets.

H5 is new, and H3 is longer than it was: the bot now runs to the finish line
rather than stopping at y=1780, so its trajectory table continues past where the
superseded file ended.

== coil-course probe ==
map          ../../assets/maps/coil.map
solids       26 hulls
triggers     4
   t_start      -> target_starttimer    START                    Vec3(-224.0, 32.0, -32.0) .. Vec3(224.0, 64.0, 768.0)
   1120       0.0    1.0000   Grounded
   1152       0.0    1.0000   Grounded
   1184       0.0    1.0000   Grounded
   1216       0.0    1.0000   Grounded
   1248       0.0    1.0000   Grounded
   1280       0.0    1.0000   Grounded
   1312       0.0    1.0000   Grounded
   1344       0.0    1.0000   Grounded
   1376       0.0    1.0000   Grounded
   1408       0.0    1.0000   Grounded
   1440       0.0    1.0000   Grounded
   1472       0.0    1.0000   Grounded
   1504       0.0    1.0000   Grounded
   1536       0.0    1.0000   Grounded
   1568       7.5    0.8944   Grounded
   1600      23.5    0.8944   Grounded
   1632      39.5    0.8944   Grounded
   1664      55.5    0.8944   Grounded
   1696      71.5    0.8944   Grounded
   1728      87.5    0.8944   Grounded
   1760     103.5    0.8944   Grounded
   1792     112.0    1.0000   Grounded
   1824     103.5    0.8944   Grounded
   1856      87.5    0.8944   Grounded
   1888      71.5    0.8944   Grounded
   1920      55.5    0.8944   Grounded
   1952      39.5    0.8944   Grounded
   1984      23.5    0.8944   Grounded
   2016      15.0    0.7071   Grounded
   2048      47.0    0.7071   Grounded
   2080      79.0    0.7071   Grounded
   2112     111.0    0.7071   Grounded
   2144     128.0    1.0000   Grounded
   2176     128.0    1.0000   Grounded
   2208     128.0    1.0000   Grounded
   2240     128.0    1.0000   Grounded
   2272     128.0    1.0000   Grounded
   2304     128.0    1.0000   Grounded
   2336     102.5    0.5547   Sliding 
   2368      54.5    0.5547   Sliding 
   2400       6.5    0.5547   Sliding 
   2432     -41.5    0.5547   Sliding 
   2464     -64.0    1.0000   Grounded
   2496     -64.0    1.0000   Grounded
   2528     -64.0    1.0000   Grounded
   2560     -56.5    0.8944   Grounded
   2592     -40.5    0.8944   Grounded
   2624     -24.5    0.8944   Grounded
   2656      -8.5    0.8944   Grounded
   2688       7.5    0.8944   Grounded
   2720      23.5    0.8944   Grounded
   2752      39.5    0.8944   Grounded
   2784      55.5    0.8944   Grounded
   2816      64.0    1.0000   Grounded
   2848      64.0    1.0000   Grounded
   2880      64.0    1.0000   Grounded
   2912      64.0    1.0000   Grounded
   2944      64.0    1.0000   Grounded
   2976      64.0    1.0000   Grounded
   3008      64.0    1.0000   Grounded
   3040      64.0    1.0000   Grounded
   3072      64.0    1.0000   Grounded
   3104      64.0    1.0000   Grounded
   3136      64.0    1.0000   Grounded
   3168      48.9    0.7474   Grounded
   3200      20.4    0.7474   Grounded
   3232      -8.0    0.7474   Grounded
   3264     -36.4    0.7474   Grounded
   3296     -64.9    0.7474   Grounded
   3328     -93.3    0.7474   Grounded
   3360    -121.8    0.7474   Grounded
   3392    -150.2    0.7474   Grounded
   3424      80.0    1.0000   Grounded
   3456      80.0    1.0000   Grounded
   3488      80.0    1.0000   Grounded
   3520      80.0    1.0000   Grounded
   3552      80.0    1.0000   Grounded
   3584      80.0    1.0000   Grounded
   3616      80.0    1.0000   Grounded
   3648      80.0    1.0000   Grounded
   3680      80.0    1.0000   Grounded
   3712    -192.0    1.0000   Grounded
   3744    -192.0    1.0000   Grounded
   3776    -192.0    1.0000   Grounded
   3808    -192.0    1.0000   Grounded
   3840    -192.0    1.0000   Grounded
   3872    -192.0    1.0000   Grounded
   3904    -192.0    1.0000   Grounded
   3936    -192.0    1.0000   Grounded
   3968    -192.0    1.0000   Grounded

void samples on the centre line: 0
  Grounded: 146 samples, normal.z 0.7071..1.0000
  Sliding : 4 samples, normal.z 0.5547..0.5547

== H4  jump gates, launched along +Y at a sweep of speeds ==

-- ramp-wave shortcut from Vec3(0.0, 1780.0, 136.0)
     ups   landed y  landed z   exit ups
     350       2068        92         17
     375       2080       103          5
     400       2087       110        400
     425       2096       119         53
     450       2104       127         75
     475       2111       134         97
     500       2116       139        500
     525       2124       148        138
     550       2128       151        160
     575       2139       152        575
     600       2154       152        600
     625       2170       152        625
     650       2186       152        650
     675       2201       152        675
     700       2217       152        700
     725       2232       152        725
     750       2248       152        750
     775       2264       152        775
     800       2279       152        800
     825       2295       152        825
     850       2310       152        850
     875       2655        15        490
     900       2666        20        515
     925       2683        29        538
     950       2692        34        563
     975       2708        42        586
    1000       2716        46        611

-- the gully            from Vec3(0.0, 2292.0, 152.0)
     ups   landed y  landed z   exit ups
     450       2724        50        163
     475       2740        58        188
     500       2756        66        213
     525       2771        73        238
     550       2785        80        264
     575       2798        87        289
     600       2815        88        600
     625       2837        88        625
     650       2859        88        650
     675       2881        88        675
     700       2902        88        700
     725       2924        88        725
     750       2946        88        750
     775       2968        88        775
     800       2990        88        800
     825       3011        88        825
     850       3033        88        850
     875       3055        88        875
     900       3077        88        900
     925       3099        88        925
     950       3120        88        950
     975       3142        88        975
    1000       3409      -141        368

-- the finish           from Vec3(0.0, 3124.0, 88.0)
     ups   landed y  landed z   exit ups
     350       3409      -141        330
     375       3409        65        375
     400       3409      -141        330
     425       3410       104        425
     450       3412       104        450
     475       3420       104        475
     500       3436       104        500
     525       3452       104        525
     550       3467       104        550
     575       3483       104        575
     600       3498       104        600
     625       3514       104        625
     650       3530       104        650
     675       3545       104        675
     700       3561       104        700
     725       3576       104        725
     750       3592       104        750
     775       3608       104        775
     800       3623       104        800
     825       3639       104        825
     850       3654       104        850
     875       3670       104        875
     900       3686       104        900
     925       4249      -168        925
     950       4279      -168        950
     975       4310      -168        975
    1000       4340      -168       1000

== H3  strafe-jumping from the spawn ==
   tick         x         y         z       ups
      8      -316      -729        24       227
     40      -268      -662        24       326
     72      -282      -573        61       394
    104      -293      -465        65       446
    136      -298      -346        33       486
    168      -288      -217        96       529
    200      -253       -83       108       544
    232      -196        44        66       550
    264      -143       180        63       586
    296      -106       331       107       622
    328       -85       493        98       656
    360       -83       665        37       688
    392      -101       844        85       719
    424      -137      1029       110       742
    456      -170      1216        81       744
    488      -188      1408        44       767
    520      -193      1607       101       782
    552      -209      1796       145       708
    584      -197      1981       199       737
    616      -165      2171       200       767
    648      -116      2364       149       783
    680       -58      2556        46       782
    712       -24      2739        57       714
    744       -12      2923       137       728
    776       -21      3112       168       753
    808       -47      3306       147       770

reached y=3452 z=113 in 6656 ms; peak horizontal speed 783 ups

== H5  the run clock ==
sampled once per decision window : ["t_start", "t_cp1", "t_cp2", "t_finish"]
swept, from Trace::triggers      : ["t_start", "t_cp1", "t_cp2", "t_finish"]

  window end     run ms  volume
        1856         48  t_start
        4096       2288  t_cp1
        6208       4400  t_cp2
        6656       4792  t_finish

clock: FINISHED  start 1808 ms  finish 6600 ms  time 4.792 s (4792 ms, u32)

== texture families in the compiled solids ==
  straf3/finish      1
  straf3/floor       4
  straf3/pad         2
  straf3/ramp        4
  straf3/ramp45      1
  straf3/slide       1
  straf3/wall        13
